,id,JudulSkripsi,abstract,keyword,NamaPeneliti,Tahun,ProgramStudi,judul_cleaned,judul_tokenized,judul_lower,judul_no_stopwords,judul_stemmed,cluster_label,rata_rata_jarak_antar_dokumen_dalam_satu_kluster,rata_rata_jarak_antar_dokumen_dengan_kluster_lain
0,1,Alat Pendeteksi Kebocoran Gas Lpg Berbasis Arduino Uno Dengan Sms (Short Message Service) Sebagai Notifikasi,,,Adesta Tito Suwandhita,2018,Teknik Informatika,Alat Pendeteksi Kebocoran Gas Lpg Berbasis Arduino Uno Dengan Sms Short Message Service Sebagai Notifikasi,"Alat, Pendeteksi, Kebocoran, Gas, Lpg, Berbasis, Arduino, Uno, Dengan, Sms, Short, Message, Service, Sebagai, Notifikasi","alat, pendeteksi, kebocoran, gas, lpg, berbasis, arduino, uno, dengan, sms, short, message, service, sebagai, notifikasi","alat, pendeteksi, kebocoran, gas, lpg, berbasis, arduino, uno, sms, short, message, service, notifikasi",alat deteksi bocor gas lpg bas arduino uno sms short message service notifikasi,3,0.7991846863642369,0.988015662722373
1,2,Sistem Pendukung Keputusan Penilaian Kinerja Pegawai Honorer Menggunakan Metode Weighted Product (Wp) Pada : Kantor Kelurahan Loa Bakung Samarinda,,,Muhammad Faizal Rusbian,2018,Sistem Informasi,Sistem Pendukung Keputusan Penilaian Kinerja Pegawai Honorer Menggunakan Metode Weighted Product Wp Pada  Kantor Kelurahan Loa Bakung Samarinda,"Sistem, Pendukung, Keputusan, Penilaian, Kinerja, Pegawai, Honorer, Menggunakan, Metode, Weighted, Product, Wp, Pada, Kantor, Kelurahan, Loa, Bakung, Samarinda","sistem, pendukung, keputusan, penilaian, kinerja, pegawai, honorer, menggunakan, metode, weighted, product, wp, pada, kantor, kelurahan, loa, bakung, samarinda","sistem, pendukung, keputusan, penilaian, kinerja, pegawai, honorer, metode, weighted, product, wp, kantor, kelurahan, loa, bakung, samarinda",sistem dukung putus nilai kerja pegawai honorer metode weighted product wp kantor lurah loa bakung samarinda,4,0.8955198992970536,0.9684628233250192
2,3,Membangun Pengenalan Hewan Augmented Reality Berbasis Android Menggunakan Vuforia,,,Zulfikar Fitri Istyanto,2018,Teknik Informatika,Membangun Pengenalan Hewan Augmented Reality Berbasis Android Menggunakan Vuforia,"Membangun, Pengenalan, Hewan, Augmented, Reality, Berbasis, Android, Menggunakan, Vuforia","membangun, pengenalan, hewan, augmented, reality, berbasis, android, menggunakan, vuforia","membangun, pengenalan, hewan, augmented, reality, berbasis, android, vuforia",bangun kenal hewan augmented reality bas android vuforia,1,0.7835852649769562,0.9626114003924922
3,4,Alat Penyiram Tanaman Otomatis Menggunakan Arduino Uno Dengan Kendali Sms,,,Aris Prasetyo,2018,Teknik Informatika,Alat Penyiram Tanaman Otomatis Menggunakan Arduino Uno Dengan Kendali Sms,"Alat, Penyiram, Tanaman, Otomatis, Menggunakan, Arduino, Uno, Dengan, Kendali, Sms","alat, penyiram, tanaman, otomatis, menggunakan, arduino, uno, dengan, kendali, sms","alat, penyiram, tanaman, otomatis, arduino, uno, kendali, sms",alat siram tanam otomatis arduino uno kendali sms,3,0.8097435977230221,0.996372583142551
4,5,Desain Dan Implementasi E-Learning Pada Lkp Active English Course Tenggarong Berbasis Web,,,Riski apriliansyah,2020,Sistem Informasi,Desain Dan Implementasi ELearning Pada Lkp Active English Course Tenggarong Berbasis Web,"Desain, Dan, Implementasi, ELearning, Pada, Lkp, Active, English, Course, Tenggarong, Berbasis, Web","desain, dan, implementasi, elearning, pada, lkp, active, english, course, tenggarong, berbasis, web","desain, implementasi, elearning, lkp, active, english, course, tenggarong, berbasis, web",desain implementasi elearning lkp active english course tenggarong bas web,2,0.8974039931102455,0.9821753488000282
5,6,Sistem Pendukung Keputusan Penyeleksian Calon Karyawan Bagian Operator Alat Berat Pada Pt> Pama Persada Nusantara Menggunakan Metode Mfep Berbasis Web,,,I Komang Ari Wijaya Saputra,2019,Teknik Informatika,Sistem Pendukung Keputusan Penyeleksian Calon Karyawan Bagian Operator Alat Berat Pada Pt Pama Persada Nusantara Menggunakan Metode Mfep Berbasis Web,"Sistem, Pendukung, Keputusan, Penyeleksian, Calon, Karyawan, Bagian, Operator, Alat, Berat, Pada, Pt, Pama, Persada, Nusantara, Menggunakan, Metode, Mfep, Berbasis, Web","sistem, pendukung, keputusan, penyeleksian, calon, karyawan, bagian, operator, alat, berat, pada, pt, pama, persada, nusantara, menggunakan, metode, mfep, berbasis, web","sistem, pendukung, keputusan, penyeleksian, calon, karyawan, operator, alat, berat, pt, pama, persada, nusantara, metode, mfep, berbasis, web",sistem dukung putus seleksi calon karyawan operator alat berat pt pama persada nusantara metode mfep bas web,3,0.8417229594988074,0.9478299131216122
6,7,Sistem Informasi Reservasi Kamar Berbasis Website Pada Homestay Dewantara 11 Samarinda,,,Rifqi,2019,Sistem Informasi,Sistem Informasi Reservasi Kamar Berbasis Website Pada Homestay Dewantara  Samarinda,"Sistem, Informasi, Reservasi, Kamar, Berbasis, Website, Pada, Homestay, Dewantara, Samarinda","sistem, informasi, reservasi, kamar, berbasis, website, pada, homestay, dewantara, samarinda","sistem, informasi, reservasi, kamar, berbasis, website, homestay, dewantara, samarinda",sistem informasi reservasi kamar bas website homestay dewantara samarinda,1,0.8542442999362204,0.9486408973826653
7,8,Sistem Pendukung Keputusan Penentuan Penerimaan Beasiswa Perusahaan Pt.Pkn Dengan Metode Smart Bagi Siswa Smp Negeri 3 Tanjung Selor Berbasis Web,,,Yosia Kelso,2019,Sistem Informasi,Sistem Pendukung Keputusan Penentuan Penerimaan Beasiswa Perusahaan PtPkn Dengan Metode Smart Bagi Siswa Smp Negeri  Tanjung Selor Berbasis Web,"Sistem, Pendukung, Keputusan, Penentuan, Penerimaan, Beasiswa, Perusahaan, PtPkn, Dengan, Metode, Smart, Bagi, Siswa, Smp, Negeri, Tanjung, Selor, Berbasis, Web","sistem, pendukung, keputusan, penentuan, penerimaan, beasiswa, perusahaan, ptpkn, dengan, metode, smart, bagi, siswa, smp, negeri, tanjung, selor, berbasis, web","sistem, pendukung, keputusan, penentuan, penerimaan, beasiswa, perusahaan, ptpkn, metode, smart, siswa, smp, negeri, tanjung, selor, berbasis, web",sistem dukung putus tentu terima beasiswa usaha ptpkn metode smart siswa smp negeri tanjung lor bas web,4,0.8760879967000966,0.9620013995439092
8,9,Decision Support System Pemilihan Siswa Untuk Mengikuti Olimpiade Sains Biologi Dengan Metode Simple Multi Attribute Rating Technique (Smart) Pada Sma Negeri 5 Samarinda,,,Dewi Anggraini Nopiasih,2019,Sistem Informasi,Decision Support System Pemilihan Siswa Untuk Mengikuti Olimpiade Sains Biologi Dengan Metode Simple Multi Attribute Rating Technique Smart Pada Sma Negeri  Samarinda,"Decision, Support, System, Pemilihan, Siswa, Untuk, Mengikuti, Olimpiade, Sains, Biologi, Dengan, Metode, Simple, Multi, Attribute, Rating, Technique, Smart, Pada, Sma, Negeri, Samarinda","decision, support, system, pemilihan, siswa, untuk, mengikuti, olimpiade, sains, biologi, dengan, metode, simple, multi, attribute, rating, technique, smart, pada, sma, negeri, samarinda","decision, support, system, pemilihan, siswa, mengikuti, olimpiade, sains, biologi, metode, simple, multi, attribute, rating, technique, smart, sma, negeri, samarinda",decision support system pilih siswa ikut olimpiade sains biologi metode simple multi attribute rating technique smart sma negeri samarinda,4,0.9116209155913976,0.9851625764873307
9,10,Sistem Informasi Reservasi Dan Pariwisata Pada Taman Wisata Graha Mangrove Bontang Kaltim Berbasis Website,,,Muhammad Arfin Aprianto,2019,Sistem Informasi,Sistem Informasi Reservasi Dan Pariwisata Pada Taman Wisata Graha Mangrove Bontang Kaltim Berbasis Website,"Sistem, Informasi, Reservasi, Dan, Pariwisata, Pada, Taman, Wisata, Graha, Mangrove, Bontang, Kaltim, Berbasis, Website","sistem, informasi, reservasi, dan, pariwisata, pada, taman, wisata, graha, mangrove, bontang, kaltim, berbasis, website","sistem, informasi, reservasi, pariwisata, taman, wisata, graha, mangrove, bontang, kaltim, berbasis, website",sistem informasi reservasi pariwisata taman wisata graha mangrove bontang kaltim bas website,1,0.875798566373151,0.9634494474443234
